RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
275	 Legislative District 16 - State Representative Pos. 1	23733	Mary Ruth Edwards	0	0	(Prefers Republican Party)	Legislative
276	 Legislative District 16 - State Representative Pos. 2	22859	Terry R. Nealey	0	0	(Prefers Republican Party)	Legislative
277	 Legislative District 17 - State Senator	25356	Don Benton	0	0	(Prefers Republican Party)	Legislative
277	 Legislative District 17 - State Senator	25014	Tim Probst	0	0	(Prefers Democratic Party)	Legislative
278	 Legislative District 17 - State Representative Pos. 1	23458	Monica Stonier	0	0	(Prefers Democratic Party)	Legislative
278	 Legislative District 17 - State Representative Pos. 1	23614	Julie Olson	0	0	(Prefers Republican Party)	Legislative
279	 Legislative District 17 - State Representative Pos. 2	25089	Paul Harris	0	0	(Prefers Republican Party)	Legislative
279	 Legislative District 17 - State Representative Pos. 2	26910	Jim Gizzi	0	0	(Prefers Democratic Party)	Legislative
280	 Legislative District 18 - State Senator	27881	Ann Rivers	0	0	(Prefers Republican Party)	Legislative
280	 Legislative District 18 - State Senator	27433	Ralph Schmidt	0	0	(Prefers Democratic Party)	Legislative
281	 Legislative District 18 - State Representative Pos. 1	27882	Brandon Vick	0	0	(Prefers Republican Party)	Legislative
281	 Legislative District 18 - State Representative Pos. 1	27825	Adrian E. Cortes	0	0	(Prefers Republican Party)	Legislative
282	 Legislative District 18 - State Representative Pos. 2	23594	Liz Pike	0	0	(Prefers Republican Party)	Legislative
282	 Legislative District 18 - State Representative Pos. 2	27205	David Shehorn	0	0	(Prefers Democratic Party)	Legislative
283	 Legislative District 19 - State Senator	23369	Brian Hatfield	0	0	(Prefers Democratic Party)	Legislative
283	 Legislative District 19 - State Senator	23054	Rick Winsman	0	0	(Prefers Republican Party)	Legislative
284	 Legislative District 19 - State Representative Pos. 1	22683	Dean Takko	0	0	(Prefers Democratic Party)	Legislative
284	 Legislative District 19 - State Representative Pos. 1	24137	Dixie Kolditz	0	0	(Prefers Republican Party)	Legislative
285	 Legislative District 19 - State Representative Pos. 2	22771	Brian E. Blake	0	0	(Prefers Democratic Party)	Legislative
285	 Legislative District 19 - State Representative Pos. 2	27972	Tim Sutinen	0	0	(Prefers Independent Party)	Legislative
286	 Legislative District 20 - State Senator	23340	Dan Swecker	0	0	(Prefers Republican Party)	Legislative
286	 Legislative District 20 - State Senator	25078	John E. Braun	0	0	(Prefers Republican Party)	Legislative
287	 Legislative District 20 - State Representative Pos. 1	23079	Richard DeBolt	0	0	(Prefers Republican Party)	Legislative
288	 Legislative District 20 - State Representative Pos. 2	22908	Ed Orcutt	0	0	(Prefers Republican Party)	Legislative
288	 Legislative District 20 - State Representative Pos. 2	23494	John Morgan	0	0	(Prefers Republican Party)	Legislative
290	 Legislative District 21 - State Representative Pos. 1	23047	Mary Helen Roberts	0	0	(Prefers Democratic Party)	Legislative
291	 Legislative District 21 - State Representative Pos. 2	24438	Marko Liias	0	0	(Prefers Democratic Party)	Legislative
291	 Legislative District 21 - State Representative Pos. 2	27964	Kevin Morrison	0	0	(Prefers Republican Party)	Legislative
292	 Legislative District 22 - State Senator	23057	Karen Fraser	0	0	(Prefers Democratic Party)	Legislative
293	 Legislative District 22 - State Representative Pos. 1	22856	Chris Reykdal	0	0	(Prefers Democratic Party)	Legislative
